City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
chuy,100,UY,1624738969,93,-33.6971,-53.4616,56.28,3.83
tual,100,ID,1624738969,74,-5.6667,132.75,80.67,21.52
duluth,20,US,1624738921,63,46.7833,-92.1066,78.06,9.22
tessalit,0,ML,1624738970,6,20.1986,1.0114,98.87,8.46
totskoye,3,RU,1624738755,64,52.5248,52.7623,75.63,3.94
luderitz,0,NA,1624738971,64,-26.6481,15.1594,56.62,8.52
bubaque,100,GW,1624738971,88,11.2833,-15.8333,77.22,12.08
ostrovnoy,65,RU,1624738971,86,68.0531,39.5131,44.11,3.42
kubachi,99,RU,1624738753,43,42.086,47.6034,64.94,7.18
kupang,100,ID,1624738972,83,-10.1667,123.5833,77.27,9.15
mamallapuram,100,IN,1624738973,66,12.6264,80.1722,84.06,11.79
ukiah,1,US,1624738973,29,39.1502,-123.2078,110.12,4.61
tagab,1,AF,1624738974,41,34.855,69.6492,75.11,3.53
gazimurskiy zavod,26,RU,1624738974,92,51.5461,118.3266,58.35,2.28
mabaruma,51,GY,1624738975,92,8.2,-59.7833,79.34,5.14
artyom,8,AZ,1624738975,56,40.4723,50.333,77.14,5.19
kyabram,97,AU,1624738975,77,-36.3167,145.05,47.88,7.52
puerto escondido,90,MX,1624738976,61,15.85,-97.0667,81.43,11.5
marabba,52,SD,1624738976,43,12.35,32.1833,90.64,12.21
zhanaozen,6,KZ,1624738976,19,43.3,52.8,92.34,11.45
marsh harbour,100,BS,1624738977,69,26.5412,-77.0636,82.22,14.88
kangalassy,33,RU,1624738977,60,62.3464,129.9628,60.73,3.13
malakal,100,SS,1624738978,61,9.5334,31.6605,81.54,3.49
aksarka,87,RU,1624738978,64,66.5606,67.7975,48.4,7.49
wad rawah,100,SD,1624738979,24,15.1603,33.1397,94.5,9.33
comodoro rivadavia,20,AR,1624738979,53,-45.8667,-67.5,46.26,10.36
taoudenni,3,ML,1624738980,8,22.6783,-3.9836,105.75,6.17
guerrero negro,10,MX,1624738980,60,27.9769,-114.0611,74.62,15.86
san matias,20,BO,1624738981,23,-16.3667,-58.4,96.53,8.01
saint pete beach,40,US,1624738981,65,27.7253,-82.7412,92.21,1.01
san patricio,66,US,1624738981,58,28.017,-97.5169,95.09,18.39
tabou,62,CI,1624738982,87,4.423,-7.3528,77.2,6.17
xai-xai,0,MZ,1624738982,89,-25.0519,33.6442,70.16,9.75
sabang,100,ID,1624738983,80,5.8933,95.3214,77.86,21.61
moose factory,1,CA,1624738983,77,51.2585,-80.6094,66.2,12.66
shelburne,100,CA,1624738984,92,44.0787,-80.2041,76.89,15.52
bathsheba,40,BB,1624738984,58,13.2167,-59.5167,84.81,20.71
pangnirtung,100,CA,1624738985,94,66.1451,-65.7125,41.79,5.08
ust-nera,7,RU,1624738985,52,64.5667,143.2,68.72,2.77
kaseda,100,JP,1624738986,89,31.4167,130.3167,68.85,13.6
los llanos de aridane,20,ES,1624738986,86,28.6585,-17.9182,65.95,16.11
usinsk,100,RU,1624738987,70,65.9939,57.5281,57.61,3.42
jardim,0,BR,1624738987,28,-21.4803,-56.1381,88.34,9.33
ribeira grande,40,PT,1624738988,73,38.5167,-28.7,70.2,11.5
naryan-mar,100,RU,1624738988,89,67.6713,53.087,50.5,11.32
port macquarie,0,AU,1624738989,73,-31.4333,152.9167,40.37,4.7
paamiut,97,GL,1624738818,98,61.994,-49.6678,42.89,9.6
tautira,0,PF,1624738989,76,-17.7333,-149.15,84.22,6.64
beatrice,90,US,1624738990,73,40.2681,-96.747,75.18,11.5
mahebourg,75,MU,1624738990,83,-20.4081,57.7,71.89,10.36
edgewater,40,US,1624738991,70,28.9889,-80.9023,88.0,11.5
new ulm,40,US,1624738991,93,44.3125,-94.4605,70.3,8.05
saint-augustin,100,CA,1624738991,85,51.226,-58.6502,62.04,17.25
egvekinot,72,RU,1624738992,50,66.3167,-179.1667,43.36,2.75
onokhino,63,RU,1624738992,96,56.925,65.5394,62.92,2.98
taraz,3,KZ,1624738834,20,42.9,71.3667,73.81,11.18
jinchang,0,CN,1624738993,57,38.4953,102.1739,68.95,4.41
tsumeb,8,NA,1624738993,24,-19.2333,17.7167,58.55,4.81
rorvik,100,NO,1624738994,78,64.8621,11.2373,51.67,13.09
sangar,39,RU,1624738994,62,63.9242,127.4739,64.45,1.25
makakilo city,40,US,1624738994,53,21.3469,-158.0858,82.72,10.36
hami,84,CN,1624738995,20,42.8,93.45,80.08,7.92
mount gambier,40,AU,1624738995,100,-37.8333,140.7667,46.31,5.75
dwarka,88,IN,1624738996,65,22.2394,68.9678,84.52,15.17
enumclaw,0,US,1624738737,53,47.2043,-121.9915,100.15,1.01
tieli,17,CN,1624738996,90,46.95,128.05,59.31,2.37
lasa,71,IT,1624738997,89,46.6166,10.7002,69.71,2.1
vanimo,99,PG,1624738997,91,-2.6741,141.3028,76.1,5.37
nishihara,90,JP,1624738998,94,26.1842,127.7558,80.65,14.97
salina cruz,98,MX,1624738998,67,16.1667,-95.2,85.5,9.64
leningradskiy,91,RU,1624738998,52,69.3833,178.4167,49.75,3.2
dundalk,75,US,1624738999,71,39.2507,-76.5205,89.08,4.0
naze,100,JP,1624738999,91,28.3667,129.4833,76.66,12.03
